trial_id,window_id,window_start_s,window_end_s,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
2,1,0.0,0.3,1.9129654707301793,-0.24406249618206283,-0.45297239482488943,-0.9871469292228424,-4.073571311740769,4.253734614534406,0.1532007510777784,-1.214723574929115,3.2351427270210835,-2.105644664753407,-0.9081718277723811,-0.40749091690451644,1.6646421385835357,-0.7058289608034327,0.6943673006529222,-0.6822908492987196,-0.5987368595615313,-0.15323462807954039,-0.2892073726203281,0.060262531714784254
2,2,0.3,0.6,0.869439801902338,0.5152716612352801,-0.9941606287778083,-10.28759799855208,2.900647126645872,0.4877910729210592,0.5437847883754946,-0.06996146962743384,-0.08264679555228538,-0.030424065597250305,0.31162260908670764,0.5754755325521562,0.2909490979047589,0.2483083766369218,-0.03892199510354084,0.2695894725611172,-0.07202170377733375,0.11812032779433417,0.016015656399542447,0.08302497523784008
2,3,0.6,0.9,0.19684079764650844,-0.2871060880175864,-0.7635222068819858,-10.111343127271509,3.07913743362244,0.3182943370019829,0.7502820814241318,-0.2552170343583174,0.01888806226688722,0.634114864886293,-0.04905957803795058,0.441332002285235,-0.660567685810031,0.2512972947011372,0.1393390197501628,0.34185457619507453,-0.09573229952318488,-0.11571036428353754,0.10264481298167406,0.14915002905890512
2,4,0.9,1.2,0.7055539247147412,0.5848926362961167,0.8505381050942202,0.3746471390030837,-1.6116809936797503,-1.493069682435419,2.5002318549226965,-1.2442860654926464,0.6400507081965547,1.7323318772613034,0.9034228617135983,0.7148252207934983,-1.3590132815324554,0.42562013699190854,-1.8132443946617123,-0.025236764827949596,0.3782409122122871,-0.29285766505199584,-1.0508308180295167,-0.40514157975733484
2,5,1.2,1.5,-0.3575399897855666,-0.8309935864968955,0.7625600006216836,-8.348707672898557,4.350515174391516,-1.0257383947829142,-1.4753790678606284,2.101727981314373,-1.1813269707605496,-1.387634068706074,-1.6104116046860808,0.3911246580405422,0.194895760714593,-0.49612330456950093,0.35766812680543464,-0.8559507337100964,0.11974483614465023,-0.3705298310387908,-0.087500036305574,-0.25451447237998137
2,6,1.5,1.8,0.18127465986002803,-0.4585307451358429,1.2813964308647112,0.3725429989905849,-2.0875966644386996,-0.7854776848463703,2.80745719720653,-0.1415051579943435,-0.27101859393651584,0.2246302940410555,-3.103877479666738,2.83798607635083,0.4099255118370888,-0.8415809851266399,-0.15849499573011033,-1.6689279201223446,-0.0548555516509413,0.1509142069119001,-0.7454323570835117,0.09782030410806526
2,7,1.8,2.1,0.896320302390263,0.28421725323025177,-1.239706438841831,2.609267909592919,-0.22034887391158137,0.5379647723961678,-1.8113411631897394,0.10344103942647988,0.9907996252475314,-2.654698632616217,0.04852966578454413,0.3483417268104915,-0.4819627876966317,-0.9009292513595285,0.7645480595048683,-0.09107306214346261,-0.03628897747880733,0.417548685672121,0.6213875418528262,0.5642608444064521
2,8,2.1,2.4,0.8400918888376395,0.8062660132508013,0.31245253369099724,-1.4723308909851283,-2.305223554605337,-0.7063345006410905,-5.692768527697912,1.7655961988292581,-1.7728511181931381,-0.796458401083509,-0.9287421587122855,-2.027872525654828,-0.667897588903171,-0.6583933443320824,-0.3060469817903247,0.0049336525060087785,-0.23957494045004554,-0.10511996415430913,0.0749831250081611,0.25282921521366
2,9,2.4,2.7,1.040579532118091,-0.6999246545269731,1.7799091747998053,0.7928985705414274,-2.885014934642746,0.8676630437873756,1.1869578891324113,1.666781150675598,-2.1398772937949384,1.4704210225493493,1.080044164036208,-0.5984572488944918,0.6317626396904358,0.8988843696844924,-0.6881025733202086,-0.4909849893060798,-1.5303176239046887,0.2475766388574073,-1.0700679448681878,-0.24878195596814381
2,10,2.7,3.0,0.41612341839479067,-0.3538349367658815,-0.09049855696880456,0.7687346084100403,-1.4801195756198606,-1.4349633859183846,-0.5592158477844767,2.1530897215538896,1.129058665560511,2.611355424864135,1.9185775253681678,0.6577899697016215,-0.30824804892167695,-1.2840446831348797,-0.4638560648778135,0.3723065979973498,0.7111500508649006,0.24975803581743306,0.22537003861956073,0.08982499360213167
